id,_name,address,contact,cpf,birth_date
1,Jessamine Scahill,7103 Blaine Place,525-534-8961,97100515588,1928-04-25
2,Marie-ann Kemston,7 Moulton Point,910-452-5344,39344303352,1927-06-21
3,Velma Stoak,44198 Brentwood Center,140-277-1594,20763416860,1948-10-10
4,Minnie Francescuccio,2 Springs Point,390-724-8592,61852531316,1942-06-25
5,Nannie Carne,24028 Hudson Park,334-603-9103,02430416642,1986-04-27
6,Caddric Chetwin,6801 Holmberg Hill,688-455-4524,82023751921,1987-03-27
7,Jory Bowdon,00 Weeping Birch Place,631-410-0460,61174724984,1947-11-08
8,Nollie Dukelow,342 Banding Hill,524-255-1558,03373087250,1972-11-07
9,Brittaney Knudsen,46 Pankratz Way,863-928-5859,91457789969,1995-04-06
10,Lurlene Kobke,8056 Debra Circle,247-384-1938,81752937366,1975-03-28
11,Burk Lethbrig,1 Oxford Point,844-921-6206,57346982937,1946-03-29
12,Alix Venus,96950 Bartillon Drive,243-984-2011,81135369493,1924-02-06
13,Loydie Priestman,52 Rigney Circle,825-213-9166,65643781588,1982-08-05
14,Buck Vase,1 Brentwood Lane,634-481-3322,37408127504,1981-12-25
15,Vernor Waddilow,41 Autumn Leaf Alley,980-930-2995,26028035622,1956-02-25
16,Elston Collie,937 Sauthoff Junction,838-709-0106,69525083924,1940-01-11
17,Bucky Creggan,430 Reindahl Place,203-456-5969,73807723125,1966-07-21
18,Barbe Sidsaff,242 Westend Avenue,998-347-1448,37975549404,1928-10-23
19,Randene Meffin,2649 Green Ridge Parkway,900-220-5798,46873859800,1955-09-13
20,Sallie Niles,6140 Farragut Junction,221-405-3404,54160617097,1977-01-08
21,Angel Gearty,174 Wayridge Circle,893-549-8760,31003414703,1964-08-06
22,Nicolea Negus,12 Hanover Park,545-436-7057,49762309225,1925-11-13
23,Lewiss Darling,2014 Pierstorff Trail,444-257-7840,21891920495,1970-09-07
24,Ebeneser Hovard,4 Jackson Drive,746-549-6040,70671898957,2000-01-08
25,Templeton Pittet,4719 Russell Plaza,618-435-6873,66907284678,1996-11-19
26,Korry Dannohl,339 Moland Plaza,547-870-8535,22680341407,1992-01-28
27,Alessandra Wyant,444 Meadow Valley Drive,236-763-4337,83960567038,1959-12-08
28,Saleem Nicholls,5613 3rd Center,394-887-0434,17165243265,1957-05-08
29,Joyce Caudwell,29 Merchant Lane,438-939-0841,98426482611,1992-06-03
30,Jesus Condit,74 Emmet Plaza,712-454-7195,96906010133,1967-05-16
31,Danit Purviss,83058 Birchwood Way,608-360-3974,48063105044,1996-01-09
32,Michell Rosenqvist,2419 Bayside Junction,274-928-2600,69542664769,1998-06-13
33,Norman Kolis,84 Rockefeller Street,920-765-3237,26626916916,1969-04-28
34,Astra Semiras,05 Londonderry Alley,449-237-6840,14270531930,1955-05-28
35,Nelly Bakewell,1 North Way,252-457-3787,19023293336,1954-07-01
36,Otto Kears,17935 Anthes Point,400-797-2194,31632470254,1960-10-25
37,Nickie Waplinton,1205 Rutledge Street,757-547-3958,86864614359,1958-02-24
38,Sharl Fanti,624 Colorado Way,103-855-3289,23327094542,1977-09-13
39,Cookie Jelf,80 Granby Parkway,301-674-6526,93455194476,1949-08-16
40,Cooper Greenough,115 Cordelia Way,492-896-1963,29978980322,1994-11-23
41,Mirna Withur,92712 Rieder Drive,802-826-5682,55137874591,1972-09-28
42,Ara Glazebrook,931 Lerdahl Circle,385-667-0920,20105107765,1975-07-18
43,Paulina Scourge,6 Raven Street,399-741-7062,17085319704,1967-01-14
44,Trula Liverock,1 Jackson Parkway,177-136-8948,71146269519,1998-11-03
45,Portia Dillon,31 Pierstorff Lane,721-485-8234,14010948930,1983-06-14
46,Dalia Pressey,2 Swallow Hill,829-595-7848,93523153438,1946-01-04
47,Jeanelle Benfield,8 Killdeer Parkway,784-600-1726,27653771953,1990-02-28
48,Marcel Bwy,370 Loomis Parkway,610-715-3401,77103031281,1991-06-18
49,Alaric Panther,0 Bay Plaza,148-859-5495,16727480803,1998-03-07
50,Selina Cunnell,5128 Fairview Parkway,570-395-4168,05314721963,1995-08-25
