id,team_id,_name,address,contact,cpf,birth_date
1,3,Bonnibelle Luna,852 Mccormick Center,503-648-2419,28010220112,1982-08-02
2,3,Jeniffer Cordsen,738 Del Mar Terrace,546-743-6675,00129660818,1954-04-01
3,5,Josh Whinney,96 Del Mar Hill,615-981-5776,38582332200,1988-01-05
4,3,Cosme O'Hartagan,41009 Ludington Center,926-328-5848,21966730782,1957-02-10
5,3,Tobin Boulstridge,10 Hintze Center,996-857-9805,40588178156,1945-08-03
6,9,Crin Summerton,290 Loeprich Way,290-633-6714,38988028283,1933-12-01
7,10,Mei Tomovic,9641 Stone Corner Park,825-454-2540,68490630844,1955-06-26
8,1,Mario Itzchaki,1404 Red Cloud Park,539-951-2337,09648892763,1997-07-12
9,10,Humbert Kimbell,709 Gerald Hill,136-933-5977,39965948506,1975-04-20
10,3,Jenica Shanklin,887 Trailsway Pass,159-573-5670,50231552346,1968-09-03
11,10,Otho Headon,472 Bobwhite Point,160-392-3350,42211923390,1923-10-29
12,10,Joy Hallows,55 Golf Course Plaza,585-368-9849,91565879043,1999-08-19
13,9,Darlene Boyack,81 Melrose Avenue,167-648-1954,26341354682,1984-09-16
14,9,Sven Romayn,81690 Kenwood Road,357-794-4570,23701494454,1931-03-10
15,2,Emylee Bruneton,78652 Huxley Trail,250-786-1227,15702295637,1941-10-31
16,3,Madeleine Stallon,90429 Crownhardt Pass,905-349-2735,96097779800,1992-07-23
17,1,Cynde Taveriner,3 Forest Run Crossing,235-302-4978,01819022280,1923-09-19
18,2,Shelbi Hessle,18418 Sunfield Terrace,914-237-0357,63761211985,1936-09-04
19,5,Alley Verring,90 Sherman Avenue,367-383-3749,13097803566,1997-03-15
20,6,Crin Hodcroft,35 Eastwood Center,161-659-1112,48830377247,1982-04-20
21,8,Sabra Jovicic,9 Meadow Valley Way,657-873-9853,34993261033,1944-03-03
22,6,Mora Lansberry,647 Florence Avenue,714-573-4231,49358037675,1954-07-10
23,6,Giulio Muncie,9389 Old Gate Terrace,109-102-1188,93962457110,1996-07-28
24,8,Crystie Sein,034 Loftsgordon Crossing,822-210-4597,76377381702,1957-06-19
25,6,Dorian Goodinge,08910 Goodland Parkway,700-755-0586,79004404625,1942-03-28
